Timestamp,Node,CPU_percent,Memory_percent
15:21:49,midnight-07,5%,58%
15:21:49,prakhar-agarwal,4%,49%
15:21:49,reehan-pc,8%,77%
15:21:51,midnight-07,5%,58%
15:21:51,prakhar-agarwal,4%,49%
15:21:51,reehan-pc,8%,77%
15:21:54,midnight-07,5%,58%
15:21:54,prakhar-agarwal,4%,49%
15:21:54,reehan-pc,8%,77%
15:21:56,midnight-07,5%,58%
15:21:56,prakhar-agarwal,4%,49%
15:21:56,reehan-pc,8%,77%
15:21:58,midnight-07,7%,59%
15:21:58,prakhar-agarwal,5%,49%
15:21:58,reehan-pc,7%,75%
15:22:00,midnight-07,7%,59%
15:22:00,prakhar-agarwal,5%,49%
15:22:00,reehan-pc,7%,75%
15:22:02,midnight-07,7%,59%
15:22:02,prakhar-agarwal,5%,49%
15:22:02,reehan-pc,7%,75%
15:22:05,midnight-07,7%,59%
15:22:05,prakhar-agarwal,5%,49%
15:22:05,reehan-pc,7%,75%
