Timestamp,Node,CPU_percent,Memory_percent
15:52:05,midnight-07,4%,57%
15:52:05,prakhar-agarwal,4%,37%
15:52:05,reehan-pc,8%,80%
15:52:07,midnight-07,4%,57%
15:52:07,prakhar-agarwal,4%,37%
15:52:07,reehan-pc,8%,80%
15:52:10,midnight-07,4%,57%
15:52:10,prakhar-agarwal,4%,37%
15:52:10,reehan-pc,8%,80%
15:52:12,midnight-07,4%,57%
15:52:12,prakhar-agarwal,4%,37%
15:52:12,reehan-pc,8%,80%
15:52:14,midnight-07,4%,58%
15:52:14,prakhar-agarwal,3%,37%
15:52:14,reehan-pc,8%,80%
15:52:16,midnight-07,4%,58%
15:52:16,prakhar-agarwal,3%,37%
15:52:16,reehan-pc,8%,80%
15:52:18,midnight-07,4%,58%
15:52:18,prakhar-agarwal,3%,37%
15:52:18,reehan-pc,8%,80%
15:52:21,midnight-07,4%,58%
15:52:21,prakhar-agarwal,3%,37%
15:52:21,reehan-pc,8%,80%
