Timestamp,Node,CPU_percent,Memory_percent
17:56:30,midnight-07,1%,45%
17:56:30,prakhar-agarwal,4%,45%
17:56:30,reehan-pc,11%,85%
17:56:32,midnight-07,1%,45%
17:56:32,prakhar-agarwal,4%,45%
17:56:32,reehan-pc,11%,85%
17:56:34,midnight-07,1%,45%
17:56:34,prakhar-agarwal,4%,45%
17:56:34,reehan-pc,11%,85%
17:56:36,midnight-07,1%,45%
17:56:36,prakhar-agarwal,4%,45%
17:56:36,reehan-pc,11%,85%
17:56:38,midnight-07,1%,45%
17:56:38,prakhar-agarwal,4%,45%
17:56:38,reehan-pc,11%,85%
17:56:41,midnight-07,1%,45%
17:56:41,prakhar-agarwal,4%,45%
17:56:41,reehan-pc,11%,85%
17:56:43,midnight-07,2%,45%
17:56:43,prakhar-agarwal,4%,45%
17:56:43,reehan-pc,12%,82%
