Timestamp,Node,CPU_percent,Memory_percent
17:29:52,midnight-07,2%,59%
17:29:52,prakhar-agarwal,12%,37%
17:29:52,reehan-pc,5%,83%
17:29:54,midnight-07,2%,59%
17:29:54,prakhar-agarwal,12%,37%
17:29:54,reehan-pc,5%,83%
17:29:57,midnight-07,2%,59%
17:29:57,prakhar-agarwal,12%,37%
17:29:57,reehan-pc,5%,83%
17:29:59,midnight-07,2%,59%
17:29:59,prakhar-agarwal,6%,38%
17:29:59,reehan-pc,7%,83%
17:30:01,midnight-07,2%,59%
17:30:01,prakhar-agarwal,6%,38%
17:30:01,reehan-pc,7%,83%
17:30:03,midnight-07,2%,59%
17:30:03,prakhar-agarwal,6%,38%
17:30:03,reehan-pc,7%,83%
17:30:05,midnight-07,2%,59%
17:30:05,prakhar-agarwal,6%,38%
17:30:05,reehan-pc,7%,83%
17:30:07,midnight-07,2%,59%
17:30:07,prakhar-agarwal,6%,38%
17:30:07,reehan-pc,7%,83%
