Timestamp,Namespace,Pod,CPU_cores,Memory
17:29:52,kube-system,cilium-8fzxm,21m,133Mi
17:29:52,kube-system,cilium-ltqfw,9m,77Mi
17:29:52,kube-system,cilium-operator-69b9bc8d79-bnsml,8m,35Mi
17:29:52,kube-system,cilium-q7kwl,15m,80Mi
17:29:52,kube-system,coredns-7c65d6cfc9-w5stw,2m,16Mi
17:29:52,kube-system,coredns-7c65d6cfc9-xrqj8,4m,57Mi
17:29:52,kube-system,etcd-reehan-pc,19m,72Mi
17:29:52,kube-system,kube-apiserver-reehan-pc,35m,374Mi
17:29:52,kube-system,kube-controller-manager-reehan-pc,14m,69Mi
17:29:52,kube-system,kube-proxy-4589w,2m,19Mi
17:29:52,kube-system,kube-proxy-g78q2,2m,66Mi
17:29:52,kube-system,kube-proxy-zsl56,1m,29Mi
17:29:52,kube-system,kube-scheduler-reehan-pc,3m,26Mi
17:29:52,kube-system,metrics-server-784768665f-z8mzt,4m,23Mi
17:29:54,kube-system,cilium-8fzxm,21m,133Mi
17:29:54,kube-system,cilium-ltqfw,9m,77Mi
17:29:54,kube-system,cilium-operator-69b9bc8d79-bnsml,8m,35Mi
17:29:54,kube-system,cilium-q7kwl,15m,80Mi
17:29:54,kube-system,coredns-7c65d6cfc9-w5stw,2m,16Mi
17:29:54,kube-system,coredns-7c65d6cfc9-xrqj8,4m,57Mi
17:29:54,kube-system,etcd-reehan-pc,19m,72Mi
17:29:54,kube-system,kube-apiserver-reehan-pc,35m,374Mi
17:29:54,kube-system,kube-controller-manager-reehan-pc,14m,69Mi
17:29:54,kube-system,kube-proxy-4589w,2m,19Mi
17:29:54,kube-system,kube-proxy-g78q2,2m,66Mi
17:29:54,kube-system,kube-proxy-zsl56,1m,29Mi
17:29:54,kube-system,kube-scheduler-reehan-pc,3m,26Mi
17:29:54,kube-system,metrics-server-784768665f-z8mzt,4m,23Mi
17:29:57,kube-system,cilium-8fzxm,21m,133Mi
17:29:57,kube-system,cilium-ltqfw,9m,77Mi
17:29:57,kube-system,cilium-operator-69b9bc8d79-bnsml,8m,35Mi
17:29:57,kube-system,cilium-q7kwl,15m,80Mi
17:29:57,kube-system,coredns-7c65d6cfc9-w5stw,2m,16Mi
17:29:57,kube-system,coredns-7c65d6cfc9-xrqj8,4m,57Mi
17:29:57,kube-system,etcd-reehan-pc,19m,72Mi
17:29:57,kube-system,kube-apiserver-reehan-pc,35m,374Mi
17:29:57,kube-system,kube-controller-manager-reehan-pc,14m,69Mi
17:29:57,kube-system,kube-proxy-4589w,2m,19Mi
17:29:57,kube-system,kube-proxy-g78q2,2m,66Mi
17:29:57,kube-system,kube-proxy-zsl56,1m,29Mi
17:29:57,kube-system,kube-scheduler-reehan-pc,3m,26Mi
17:29:57,kube-system,metrics-server-784768665f-z8mzt,4m,23Mi
17:29:59,kube-system,cilium-8fzxm,29m,136Mi
17:29:59,kube-system,cilium-ltqfw,9m,73Mi
17:29:59,kube-system,cilium-operator-69b9bc8d79-bnsml,6m,36Mi
17:29:59,kube-system,cilium-q7kwl,17m,80Mi
17:29:59,kube-system,coredns-7c65d6cfc9-w5stw,3m,16Mi
17:29:59,kube-system,coredns-7c65d6cfc9-xrqj8,4m,58Mi
17:29:59,kube-system,etcd-reehan-pc,18m,72Mi
17:29:59,kube-system,kube-apiserver-reehan-pc,34m,379Mi
17:29:59,kube-system,kube-controller-manager-reehan-pc,13m,71Mi
17:29:59,kube-system,kube-proxy-4589w,2m,19Mi
17:29:59,kube-system,kube-proxy-g78q2,1m,66Mi
17:29:59,kube-system,kube-proxy-zsl56,1m,15Mi
17:29:59,kube-system,kube-scheduler-reehan-pc,2m,23Mi
17:29:59,kube-system,metrics-server-784768665f-z8mzt,5m,23Mi
