Timestamp,Namespace,Pod,CPU_cores,Memory
16:58:00,kube-flannel,kube-flannel-ds-4x5s5,13m,12Mi
16:58:00,kube-flannel,kube-flannel-ds-bmzv4,5m,21Mi
16:58:00,kube-flannel,kube-flannel-ds-vdxvt,13m,12Mi
16:58:00,kube-system,coredns-7c65d6cfc9-jcpd5,2m,14Mi
16:58:00,kube-system,coredns-7c65d6cfc9-jzgjb,3m,16Mi
16:58:00,kube-system,etcd-reehan-pc,17m,85Mi
16:58:00,kube-system,kube-apiserver-reehan-pc,31m,326Mi
16:58:00,kube-system,kube-controller-manager-reehan-pc,13m,74Mi
16:58:00,kube-system,kube-proxy-4589w,1m,18Mi
16:58:00,kube-system,kube-proxy-g78q2,1m,66Mi
16:58:00,kube-system,kube-proxy-zsl56,1m,17Mi
16:58:00,kube-system,kube-scheduler-reehan-pc,3m,25Mi
16:58:00,kube-system,metrics-server-784768665f-z8mzt,5m,22Mi
16:58:03,kube-flannel,kube-flannel-ds-4x5s5,13m,12Mi
16:58:03,kube-flannel,kube-flannel-ds-bmzv4,5m,21Mi
16:58:03,kube-flannel,kube-flannel-ds-vdxvt,13m,12Mi
16:58:03,kube-system,coredns-7c65d6cfc9-jcpd5,2m,14Mi
16:58:03,kube-system,coredns-7c65d6cfc9-jzgjb,3m,16Mi
16:58:03,kube-system,etcd-reehan-pc,17m,85Mi
16:58:03,kube-system,kube-apiserver-reehan-pc,31m,326Mi
16:58:03,kube-system,kube-controller-manager-reehan-pc,13m,74Mi
16:58:03,kube-system,kube-proxy-4589w,1m,18Mi
16:58:03,kube-system,kube-proxy-g78q2,1m,66Mi
16:58:03,kube-system,kube-proxy-zsl56,1m,17Mi
16:58:03,kube-system,kube-scheduler-reehan-pc,3m,25Mi
16:58:03,kube-system,metrics-server-784768665f-z8mzt,5m,22Mi
16:58:05,kube-flannel,kube-flannel-ds-4x5s5,13m,12Mi
16:58:05,kube-flannel,kube-flannel-ds-bmzv4,5m,21Mi
16:58:05,kube-flannel,kube-flannel-ds-vdxvt,13m,12Mi
16:58:05,kube-system,coredns-7c65d6cfc9-jcpd5,2m,14Mi
16:58:05,kube-system,coredns-7c65d6cfc9-jzgjb,3m,16Mi
16:58:05,kube-system,etcd-reehan-pc,17m,85Mi
