Timestamp,Node,CPU_percent,Memory_percent
16:47:36,midnight-07,4%,59%
16:47:36,prakhar-agarwal,4%,41%
16:47:36,reehan-pc,5%,80%
16:47:38,midnight-07,4%,59%
16:47:38,prakhar-agarwal,4%,41%
16:47:38,reehan-pc,5%,80%
16:47:41,midnight-07,4%,59%
16:47:41,prakhar-agarwal,4%,41%
16:47:41,reehan-pc,5%,80%
16:47:43,midnight-07,3%,59%
16:47:43,prakhar-agarwal,2%,41%
16:47:43,reehan-pc,6%,80%
16:47:45,midnight-07,3%,59%
16:47:45,prakhar-agarwal,2%,41%
16:47:45,reehan-pc,6%,80%
16:47:47,midnight-07,3%,59%
16:47:47,prakhar-agarwal,2%,41%
16:47:47,reehan-pc,6%,80%
16:47:49,midnight-07,3%,59%
16:47:49,prakhar-agarwal,2%,41%
16:47:49,reehan-pc,6%,80%
16:47:51,midnight-07,3%,59%
16:47:51,prakhar-agarwal,2%,41%
16:47:51,reehan-pc,6%,80%
