Timestamp,Namespace,Pod,CPU_cores,Memory
16:47:36,kube-flannel,kube-flannel-ds-2z9rh,16m,30Mi
16:47:36,kube-flannel,kube-flannel-ds-cmtk8,11m,56Mi
16:47:36,kube-flannel,kube-flannel-ds-wcxch,4m,20Mi
16:47:36,kube-system,coredns-7c65d6cfc9-jcpd5,2m,16Mi
16:47:36,kube-system,coredns-7c65d6cfc9-jzgjb,2m,19Mi
16:47:36,kube-system,etcd-reehan-pc,19m,82Mi
16:47:36,kube-system,kube-apiserver-reehan-pc,36m,329Mi
16:47:36,kube-system,kube-controller-manager-reehan-pc,13m,67Mi
16:47:36,kube-system,kube-proxy-4589w,1m,18Mi
16:47:36,kube-system,kube-proxy-g78q2,1m,66Mi
16:47:36,kube-system,kube-proxy-zsl56,1m,18Mi
16:47:36,kube-system,kube-scheduler-reehan-pc,3m,27Mi
16:47:36,kube-system,metrics-server-784768665f-z8mzt,6m,23Mi
16:47:38,kube-flannel,kube-flannel-ds-2z9rh,16m,30Mi
16:47:38,kube-flannel,kube-flannel-ds-cmtk8,11m,56Mi
16:47:38,kube-flannel,kube-flannel-ds-wcxch,4m,20Mi
16:47:38,kube-system,coredns-7c65d6cfc9-jcpd5,2m,16Mi
16:47:38,kube-system,coredns-7c65d6cfc9-jzgjb,2m,19Mi
16:47:38,kube-system,etcd-reehan-pc,19m,82Mi
16:47:38,kube-system,kube-apiserver-reehan-pc,36m,329Mi
16:47:38,kube-system,kube-controller-manager-reehan-pc,13m,67Mi
16:47:38,kube-system,kube-proxy-4589w,1m,18Mi
16:47:38,kube-system,kube-proxy-g78q2,1m,66Mi
16:47:38,kube-system,kube-proxy-zsl56,1m,18Mi
16:47:38,kube-system,kube-scheduler-reehan-pc,3m,27Mi
16:47:38,kube-system,metrics-server-784768665f-z8mzt,6m,23Mi
16:47:41,kube-flannel,kube-flannel-ds-2z9rh,16m,30Mi
16:47:41,kube-flannel,kube-flannel-ds-cmtk8,11m,56Mi
16:47:41,kube-flannel,kube-flannel-ds-wcxch,4m,20Mi
16:47:41,kube-system,coredns-7c65d6cfc9-jcpd5,2m,16Mi
16:47:41,kube-system,coredns-7c65d6cfc9-jzgjb,2m,19Mi
16:47:41,kube-system,etcd-reehan-pc,19m,82Mi
16:47:41,kube-system,kube-apiserver-reehan-pc,36m,329Mi
16:47:41,kube-system,kube-controller-manager-reehan-pc,13m,67Mi
16:47:41,kube-system,kube-proxy-4589w,1m,18Mi
16:47:41,kube-system,kube-proxy-g78q2,1m,66Mi
16:47:41,kube-system,kube-proxy-zsl56,1m,18Mi
